username,prediction.homeTeam,prediction.awayTeam,round,date,pointsEarned,roundPoints,totalPoints,homeTeam,awayTeam,actualHome,actualAway
lucas,1,1,13,2025-07-11T21:16:37.000Z,0,20,131,Flamengo,São Paulo,2,0
lucas,1,0,13,2025-07-11T21:17:09.000Z,10,20,131,Internacional,Vitória,1,0
lucas,1,2,13,2025-07-11T21:17:16.000Z,5,20,131,Vasco,Botafogo,0,2
lucas,1,2,13,2025-07-11T21:17:27.000Z,0,20,131,Bahia,Atlético-MG,2,1
lucas,1,0,13,2025-07-11T21:17:45.000Z,5,20,131,Cruzeiro,Grêmio,4,1
lucas,0,0,13,2025-07-11T21:17:55.000Z,0,20,131,Fortaleza,Ceará,0,1
lucas,1,2,13,2025-07-11T21:18:04.000Z,0,20,131,Juventude,Sport,2,0
ricardomello,2,1,13,2025-07-11T21:18:35.000Z,0,15,172,Corinthians,Bragantino,1,2
lucas,0,0,13,2025-07-11T21:20:17.000Z,0,20,131,Corinthians,Bragantino,1,2
ricardomello,1,1,13,2025-07-11T21:24:33.000Z,0,15,172,Flamengo,São Paulo,2,0
ricardomello,2,0,13,2025-07-11T21:24:51.000Z,5,15,172,Internacional,Vitória,1,0
ricardomello,2,3,13,2025-07-11T21:25:01.000Z,5,15,172,Vasco,Botafogo,0,2
ricardomello,1,1,13,2025-07-11T21:25:09.000Z,0,15,172,Bahia,Atlético-MG,2,1
ricardomello,0,0,13,2025-07-11T21:25:16.000Z,0,15,172,Cruzeiro,Grêmio,4,1
ricardomello,1,1,13,2025-07-11T21:25:31.000Z,0,15,172,Fortaleza,Ceará,0,1
ricardomello,1,0,13,2025-07-11T21:25:42.000Z,5,15,172,Juventude,Sport,2,0
daniel,4,0,13,2025-07-11T21:28:59.000Z,5,25,157,Flamengo,São Paulo,2,0
daniel,3,1,13,2025-07-11T21:29:07.000Z,5,25,157,Internacional,Vitória,1,0
daniel,2,0,13,2025-07-11T21:29:16.000Z,0,25,157,Vasco,Botafogo,0,2
daniel,2,1,13,2025-07-11T21:29:25.000Z,10,25,157,Bahia,Atlético-MG,2,1
daniel,3,0,13,2025-07-11T21:29:36.000Z,0,25,157,Corinthians,Bragantino,1,2
