username,prediction.homeTeam,prediction.awayTeam,round,date,pointsEarned,homeTeam,awayTeam,actualHome,actualAway,roundPoints,totalPoints
lucas,1,1,13,2025-07-11T21:16:37.000Z,0,Flamengo,São Paulo,2,0,20,111
lucas,1,0,13,2025-07-11T21:17:09.000Z,10,Internacional,Vitória,1,0,20,111
lucas,1,2,13,2025-07-11T21:17:16.000Z,5,Vasco,Botafogo,0,2,20,111
lucas,1,2,13,2025-07-11T21:17:27.000Z,0,Bahia,Atlético-MG,2,1,20,111
lucas,1,0,13,2025-07-11T21:17:45.000Z,5,Cruzeiro,Grêmio,4,1,20,111
lucas,0,0,13,2025-07-11T21:17:55.000Z,0,Fortaleza,Ceará,0,1,20,111
lucas,1,2,13,2025-07-11T21:18:04.000Z,0,Juventude,Sport,2,0,20,111
ricardomello,2,1,13,2025-07-11T21:18:35.000Z,0,Corinthians,Bragantino,1,2,15,157
lucas,0,0,13,2025-07-11T21:20:17.000Z,0,Corinthians,Bragantino,1,2,20,111
ricardomello,1,1,13,2025-07-11T21:24:33.000Z,0,Flamengo,São Paulo,2,0,15,157
ricardomello,2,0,13,2025-07-11T21:24:51.000Z,5,Internacional,Vitória,1,0,15,157
ricardomello,2,3,13,2025-07-11T21:25:01.000Z,5,Vasco,Botafogo,0,2,15,157
ricardomello,1,1,13,2025-07-11T21:25:09.000Z,0,Bahia,Atlético-MG,2,1,15,157
ricardomello,0,0,13,2025-07-11T21:25:16.000Z,0,Cruzeiro,Grêmio,4,1,15,157
ricardomello,1,1,13,2025-07-11T21:25:31.000Z,0,Fortaleza,Ceará,0,1,15,157
ricardomello,1,0,13,2025-07-11T21:25:42.000Z,5,Juventude,Sport,2,0,15,157
daniel,4,0,13,2025-07-11T21:28:59.000Z,5,Flamengo,São Paulo,2,0,25,132
daniel,3,1,13,2025-07-11T21:29:07.000Z,5,Internacional,Vitória,1,0,25,132
daniel,2,0,13,2025-07-11T21:29:16.000Z,0,Vasco,Botafogo,0,2,25,132
daniel,2,1,13,2025-07-11T21:29:25.000Z,10,Bahia,Atlético-MG,2,1,25,132
daniel,3,0,13,2025-07-11T21:29:36.000Z,0,Corinthians,Bragantino,1,2,25,132
daniel,2,0,13,2025-07-11T21:29:45.000Z,5,Cruzeiro,Grêmio,4,1,25,132
daniel,2,0,13,2025-07-11T21:29:55.000Z,0,Fortaleza,Ceará,0,1,25,132
daniel,0,0,13,2025-07-11T21:30:04.000Z,0,Juventude,Sport,2,0,25,132
joaozorzella,2,1,13,2025-07-12T00:47:57.000Z,5,Flamengo,São Paulo,2,0,25,167
joaozorzella,3,1,13,2025-07-12T00:48:16.000Z,5,Internacional,Vitória,1,0,25,167
joaozorzella,1,2,13,2025-07-12T00:48:29.000Z,5,Vasco,Botafogo,0,2,25,167
joaozorzella,2,2,13,2025-07-12T00:48:42.000Z,0,Bahia,Atlético-MG,2,1,25,167
joaozorzella,1,0,13,2025-07-12T00:49:05.000Z,0,Corinthians,Bragantino,1,2,25,167
joaozorzella,2,1,13,2025-07-12T00:49:21.000Z,5,Cruzeiro,Grêmio,4,1,25,167
joaozorzella,2,2,13,2025-07-12T00:49:39.000Z,0,Fortaleza,Ceará,0,1,25,167
joaozorzella,1,0,13,2025-07-12T00:49:55.000Z,5,Juventude,Sport,2,0,25,167
luciano,3,1,13,2025-07-12T01:28:25.000Z,5,Flamengo,São Paulo,2,0,30,163
luciano,1,1,13,2025-07-12T01:28:40.000Z,0,Internacional,Vitória,1,0,30,163
luciano,0,1,13,2025-07-12T01:29:03.000Z,5,Vasco,Botafogo,0,2,30,163
luciano,2,2,13,2025-07-12T01:29:24.000Z,0,Bahia,Atlético-MG,2,1,30,163
luciano,1,2,13,2025-07-12T01:29:40.000Z,10,Corinthians,Bragantino,1,2,30,163
luciano,2,1,13,2025-07-12T01:30:09.000Z,5,Cruzeiro,Grêmio,4,1,30,163
